Teritorija;Suņi;Kaķi
Ādažu nov.;1148;50
Aglonas nov.;431;0
Aizkraukles nov.;386;31
Aizputes nov.;750;17
Aknīstes nov.;203;2
Alojas nov.;487;0
Alsungas nov.;135;1
Alūksnes nov.;1047;8
Amatas nov.;621;2
Apes nov.;272;0
Auces nov.;491;6
Babītes nov.;1120;54
Baldones nov.;745;17
Baltinavas nov.;55;0
Balvu nov.;732;24
Bauskas nov.;1951;57
Beverīnas nov.;345;8
Brocēnu nov.;389;15
Burtnieku nov.;718;8
Carnikavas nov.;1106;37
Cēsu nov.;936;31
Cesvaines nov.;209;5
Ciblas nov.;354;2
Dagdas nov.;614;5
Daugavpils;3877;185
Daugavpils nov.;1953;48
Dobeles nov.;1307;44
Dundagas nov.;302;10
Durbes nov.;384;2
Engures nov.;766;22
Ērgļu nov.;211;3
Garkalnes nov.;1151;60
Grobiņas nov.;843;21
Gulbenes nov.;1755;19
Iecavas nov.;736;24
Ikšķiles nov.;1190;40
Ilūkstes nov.;650;3
Inčukalna nov.;647;18
Jaunjelgavas nov.;411;4
Jaunpiebalgas nov.;157;2
Jaunpils nov.;260;1
Jēkabpils;1062;25
Jēkabpils nov.;421;4
Jelgava;3666;138
Jelgavas nov.;2186;51
Jūrmala;3602;228
Kandavas nov.;512;11
Kārsavas nov.;426;1
Kocēnu nov.;554;7
Kokneses nov.;290;9
Krāslavas nov.;1362;8
Krimuldas nov.;478;20
Krustpils nov.;627;1
Kuldīgas nov.;1938;28
Ķeguma nov.;578;14
Ķekavas nov.;2485;137
Lielvārdes nov.;776;22
Liepāja;3611;150
Līgatnes nov.;304;12
Limbažu nov.;1119;17
Līvānu nov.;762;24
Lubānas nov.;131;2
Ludzas nov.;898;21
Madonas nov.;1668;46
Mālpils nov.;330;3
Mārupes nov.;1966;156
Mazsalacas nov.;287;7
Mērsraga nov.;94;4
Naukšēnu nov.;286;0
Neretas nov.;225;2
Nīcas nov.;404;9
Ogres nov.;2711;117
Olaines nov.;1730;78
Ozolnieku nov.;963;44
Pārgaujas nov.;379;3
Pāvilostas nov.;225;5
Pļaviņu nov.;547;7
Preiļu nov.;445;3
Priekules nov.;550;4
Priekuļu nov.;646;14
Raunas nov.;294;3
Rēzekne;1114;29
Rēzeknes nov.;2036;16
Riebiņu nov.;341;3
Rīga;35194;2557
Rojas nov.;234;3
Ropažu nov.;839;12
Rucavas nov.;276;1
Rugāju nov.;146;0
Rūjienas nov.;394;3
Rundāles nov.;269;6
Salacgrīvas nov.;493;13
Salas nov.;257;3
Salaspils nov.;2040;82
Saldus nov.;1717;31
Saulkrastu nov.;609;18
Sējas nov.;222;3
Siguldas nov.;1436;49
Skrīveru nov.;291;6
Skrundas nov.;342;7
Smiltenes nov.;999;12
Stopiņu nov.;1349;92
Strenču nov.;209;2
Talsu nov.;1948;32
Tērvetes nov.;485;1
Tukuma nov.;1912;81
Vaiņodes nov.;203;0
Valkas nov.;567;11
Valmiera;1123;64
Varakļānu nov.;260;1
Vārkavas nov.;270;0
Vecpiebalgas nov.;353;1
Vecumnieku nov.;714;10
Ventspils;2319;151
Ventspils nov.;1214;31
Viesītes nov.;317;0
Viļakas nov.;378;9
Viļānu nov.;321;4
Zilupes nov.;181;1
Latvijā kopā;136755;5666
